info;
"{""id"":""WOZ20513.json"",""log"":[""Fiyat aralığı umrumda değil. Bana Avrupa yemekleri sunan bir restoran tavsiye et. Telefon numarasını ve yol tarifini de almak istiyorum."",""Şehrin hangi bölgesini istersiniz?"",""Bölgeyi umursamıyorum. Herhangi bir yer.\n"",""cambridge lodge restoranı Cambridge Lodge Hotel 139 Huntingdon Road City Center'da bulunmaktadır ve telefon numarası 01223 355166'dır."",""Teşekkürler, hoşçakal"",""İyi günler ve afiyet olsun.""]}";
"{""id"":""SSNG0165.json"",""log"":[""İngiliz tarzı yemek yiyebileceğimiz orta fiyatlı yer var mı?"",""Evet, 5 yer var. Cotto ne dersiniz?\n"",""Cotto olur. Pazar günü saat 12: 00'de 1 kişilik masa rezervasyonu yapmak istiyorum."",""Cotto Cumartesi günü öğlen tamamen dolu. Sizi farklı bir restorana yönlendirebilir miyim?"",""Evet, lütfen bana aynı bölgede ve fiyat aralığında farklı bir restoran ayırtın."",""Restaurant one seven, şehir merkezinde, makul fiyatlı, İngiliz mutfağı sunmaktadır ve rezervasyonunuzu alabilirler."","" Teşekkür ederim harika bir yere benziyor."","" Cumartesi günü saat 12: 00'de 7 kişilik restoran için rezervasyon rezervasyonu yaptım. Referans numaranız DYSZRX2B. Başka yardıma ihtiyacınız var mı?"",""hayır, hepsi bu kadar. çok teşekkür ederim."",""İyi günler! ""]}";
"{""id"":""WOZ20594.json"",""log"":[""Merhaba. Bu zor bir sorgu olabilir, ancak İsveç yemekleri sunan bir restoran bulmama yardım edebilir misin? Fiyat umurumda değil."",""İsveç yemekleri sunan bir restoran yok."",""Asya oryantal yemeklerine ne dersiniz?"",""Dojo Noodle Bar, şehrin merkezinde Asya mutfağından lezzetler sunmaktadır. Numaralarını ister misiniz?\n"",""Hayır, teşekkür ederim. Sadece adrese ve posta koduna ihtiyacım var, lütfen."",""Dojo Erişte Bar 40210 Millers Yard Şehir Merkezi'nde yer almaktadır ve posta kodu CB 2, 1 RQ Size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim, hoşçakalın."",""Cambridge restoran sistemini kullandığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SSNG0067.json"",""log"":[""Merkezde Çin yemeği yemek istiyorum."",""Charlie Chan 'a ne dersin? Merkezde ucuz bir Çin restoranı.\n"",""Olur, cumartesi günü saat 11: 00'de 5 kişilik masa rezervasyonu yapmak istiyorum."",""Charlie Chan'da 11:00 Cumartesi saat 5 için masa rezervasyonu yapıyorum. Hangi isme yaptırayım."",""XXXX için ayırın, lütfen referans numarası alabilir miyim?"",""Rezervasyon başarısız oldu. Başka bir restoran bulmak ister misiniz?"",""Bölgede başka ucuz restoranlar var mı?"",""Bu kriterlere göre değil, belki başka bir bölge veya fiyat aralığında"",""Aynı bölgede ve fiyat aralığında Çin restoranı var mı?"",""Daha önce ne düşündüğümü bilmiyorum, aslında merkezde çok sayıda ucuz restoran var. J Restaurant'ta Asya Oriental 'i servis edilmektedir. Bunu denemeli miyiz?"",""Evet, lütfen J Restaurant'ı deneyin. Asya Oriental yemek kulağa hoş geliyor."",""Sizin için J restaurant 'da ayırtmayı başardım ve referans numaranız 87G7FWZM'dir."",""Yardımınız için teşekkürler! Hepsi bu kadar. Güle güle."",""Rica ederim, iyi günler! ""]}";
"{""id"":""WOZ20447.json"",""log"":[""Şehrin doğusunda makul fiyatlı bir restoran istiyorum."",""Makul fiyat aralığında ve şehrin doğusunda 3 restoran buldum. Hint veya İtalyan yemekleri ister misiniz?"",""Bir tercihim yok. İkisinden biri olur."",""Rajmahal, şehrin doğu kesiminde orta fiyatlı bir Hint restoranı. Daha fazla bilgi ister misiniz?"",""Evet, lütfen. adresini, telefon numarasını ve posta kodunu alabilir miyim?"","": İstediğiniz bilgiler. telefon 01223 244955 ve adres 7 Barnwell Road Fen Ditton, CB 5, 8 RG Bugün size yardımcı olabileceğim başka bir şey konu var mı?"",""Hayır, teşekkürler."",""Rica ederim. güle güle \n""]}";
"{""id"":""WOZ20077.json"",""log"":[""Merhaba, biraz Fransız yemeğine ihtiyacım var. Herhangi bir fiyat aralığı iyi."",""Cote şehir merkezinde pahalı bir Fransız restoranı."",""Adres ve telefon numarası nedir?"",""Cote, Bridge Street City Center'da bulunuyor ve telefon numarası 01223 311053. Size yardımcı olabileceğim başka bir konu var mı?"",""Teşekkürler, hoşçakalın."",""Cambridge restoran sistemini aradığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SSNG0083.json"",""log"":[""Şehir merkezinde hafif atıştırmalık sunan bir restoran tavsiye edebilir misiniz?"",""Üzgünüm, şehir merkezinde hafif atıştırmalık restoranımız yok. Başka bir mutfak denemek ister misiniz?"",""Peki Avrupa yemekleri sunan peki?"",""Evet, bu kriterleri karşılayan 8 restoran var. Eraina'yı tavsiye ederim."",""Cuma günü saat 11: 15'te 3 kişi için rezervasyon yapabiliyorlar mı?"",""Üzgünüm, bunu sizin için rezerve edemedim. Michaelhouse kafede senin için bir masa bulabildim. Referans numaranız VUH4CST4."",""Yardımın için teşekkürler."","" İyi günler.""]}";
"{""id"":""WOZ20065.json"",""log"":[""Şehrin kuzeyinde uygun fiyatlı bir restoran istiyorum"",""golden wok adında şehrin kuzey kesiminde orta fiyatlı bir restoran var"",""Başka bir yer var mı?"",""Nirala, şehrin kuzeyinde orta fiyatlı bir restorandır."",""Nirala ne tür yemekler sunuyor?"",""Nirala Hint mutfağı servis ediyor."",""Telefon numarası nedir?"",""Nirala'nın telefon numarası 01223 360966'dır. Bugün başka bir konuda size yardımcı olabilir miyim?"","" Hayır, teşekkürler. Bu kadar yeterli."",""Sistemimizi kullandığınız için teşekkür ederiz. Güle güle"",""Sistemimizi kullandığınız için teşekkür ederiz. Güle güle"",""Güle güle.""]}";
"{""id"":""WOZ20167.json"",""log"":[""Noel yemeği sunan bir restoran bulmak istiyorum."",""Üzgünüm, Noel yemekleri sunan bir restoran yok. Başka bir şey denemek ister misiniz?"",""Hint yemeği peki?"",""cocum Hint yemekleri servis eden pahalı fiyat aralığında ve şehrin batı kesiminde bir restorandır."",""cocum adresi nedir?"",""Cocum adresi: 71 Castle Street City Center. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim. Güle güle."",""Rica ederim. Güle güle.""]}";
"{""id"":""SNG0639.json"",""log"":[""Şehrin merkezinde bir Danimarka restoranı arıyorum."",""Üzgünüm, bu tanımla eşleşen hiçbir yer yok. Neler bulebileceğimi görmek için bölgenizi genişletmek ister misiniz?"",""Hayır, sanırım şehir merkezinde ucuz olan Avrupalı ​​bir şey bulmayı tercih ederim. Bana bu konuda yardım edebilir misin?"",""Üzgünüm, ama bu tanımla eşleşen hiçbir yer yok. Daha fazlasını bulmak için yiyecek türünüzü genişletmek ister misiniz?"",""Tabii, Hint yemekleri sunan peki?"",""Merkezde ucuz Hint yemekleri sunan Kohinoor adlı bir restoran var. Rezervasyon yaptırmak ister misiniz?"",""Hayır, teşekkür ederim, lütfen adresi, posta kodu ve telefon numarasını alabilir miyim?"",""Evet kesinlikle adresleri 74 Mill Road City Center ve posta kodları cb12as. Onların telefon numarası 01223323639. Size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, daha fazla yardıma ihtiyacım yok. Teşekkür ederim."",""Bir şey değil. Lütfen kısa süre sonra tekrar bizimle iletişime geçin. İyi günler.""]}";
"{""id"":""WOZ20640.json"",""log"":[""Şehrin güneyinde yer alan orta fiyatlı bir restoran istiyorum."",""Pizza Hut Cherry Hinton, şehrin güneyinde, orta fiyat aralığında bir İtalyan restoranıdır."",""Ne tür yemek sunuyorlar. Adresleri nedir?"",""İtalyan yemekleri servis ediyorlar. Adres, G4 Cambridge Eğlence Parkı Clifton Way Cherry Hinton'dur."",""Teşekkür ederim. Güle güle"",""Rica ederim. Tadını çıkarın!""]}";
"{""id"":""WOZ20165.json"",""log"":[""Şehrin batısında ucuz bir restoran istiyorum"",""La margherita şehrin batısında ve ucuz fiyat aralığında. Size yardımcı olabileceğim başka bir şey var mı?"",""Telefon numarasını öğrenmek istiyorum lütfen"",""01223 315232 'dir."",""Teşekkür ederim hoşçakal."",""Teşekkür ederim. Güle güle!'""]}";
"{""id"":""SNG01456.json"",""log"":[""Selam, şehir merkezinde bir restoran bulmama yardım eder misin? İngiliz yemeği olan bir yer?"",""Cotto hakkında harika şeyler duydum. Rezervasyon ister misiniz?"",""Bu restoran hangi fiyat aralığında?"",""Cotto, orta fiyat aralığında. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Hayır, buna gerek yok, lütfen bana adresi ve posta kodunu verebilir misiniz?"",""Elbette, adres 183 East Road City Center ve posta kodu cb11bg."",""Harika, şimdilik bu kadar. Teşekkürler!"",""Hoş geldiniz. İyi günler!\n""]}";
"{""id"":""SSNG0101.json"",""log"":[""Şehir merkezinde tavsiye edebileceğiniz pahalı bir restoran var mı?"",""Şehir merkezinde bir sürü pahalı restoran var. Mutfak tercihiniz var mı?"",""Hint yemekleri yemek istiyorum."",""Merkezde 5 tane Hint restoranı var. Hangi gün yemek istiyorsun?"",""Perşembe için rezervasyon yaptırmam gerekiyor. 11:15'te 1 kişi olacak. 5 restorandan herhangi biri uygun."",""Sana Golden Curry'de bir masa bulabildim. Referans numaranız 7DD4DK3N'dir ve masanızı 15 dakika tutacaktır. Başka bir şey için yardımcı olabilir miyim?"",""Teşekkürler ve hoşçakalın.\n"",""Rica ederim. Güle güle. ""]}";
"{""id"":""SNG01725.json"",""log"":[""Yemek yemek için bir yer arıyorum. Restoran İngiliz yemekleri sunmalı ve pahalı fiyat aralığında olmalıdır."",""1 Trumpington Street City Center'daki Fitzbillies restoranı isteğinize uygun. Senin için bir masa ayırtmamı ister misin?"",""İsterim. Pazartesi günü 15: 45'te 6 kişilik bir toplantı olacak. İşiniz bittiğinde referans numarasını alabilir miyim?"",""Rezervasyonunuz yapıldı. Referans numarası GK4F8AFS'dir. Size yardımcı olabileceğim başka bir konu var mı?"",""Hayır, hepsi bu. Yardımın için teşekkürler."",""Yine bekleriz."",""Yardımınız için teşekkür ederim"",""Rica ederiz.""]}";
"{""id"":""WOZ20183.json"",""log"":[""Şehrin kuzeyinde uygun fiyatlı bir restoran istiyorum"",""Şehrin kuzeyinde iki adet orta fiyatlı restoran var. Bir Çinli ve bir Hintli. Lütfen istediğiniz mutfak türünü belirtin."",""Çin'in telefon numarasını alabilir miyim lütfen?"",""Golden Wok şehrin kuzey tarafında yer almaktadır, Çin yemekleri sunar ve orta fiyat aralığında. Telefon numarası 01223 350688 var."",""Tamam, teşekkür ederim"",""Güle güle. ""]}";
"{""id"":""SNG0632.json"",""log"":[""Merhaba, Royal Standard adında bir restoran arıyorum. Onun nerede olduğunu biliyor musun?"",""Evet, royal standard 290 Mill Road, şehir merkezinde yer almaktadır."",""Harika. Cumartesi 16: 30'da 1 kişilik bir masa rezervasyonu yapabilir misiniz?"",""Royal Standard 'da 1 kişilik rezervasyon yapabildim. Referans numaranız: FZP2XK9Q. Bugün başka bir şeye ihtiyacın var mı?"",""Hayır, tek ihtiyacım bu, çok teşekkür ederim. Hoşçakal."",""Rica ederim. Yardımımı kabul ettiğiniz için teşekkürler. Hoşça kal!""]}";
"{""id"":""SNG0629.json"",""log"":[""Gastropub yemeği yemek istiyorum."",""Pahalı veya orta fiyatlı bir restoranı mı tercih edersiniz?"",""Orta fiyatlı olanı tercih ederim lütfen."",""Bir tane buldum. Adı Cow Pizza Kitchen ve Bar. Şehrin merkezinde yer almaktadır. Size bir masa ayırtmalı mıyım?"",""Hayır, teşekkürler. Posta kodunu alabilir miyim?"",""Posta kodları cb23qf"",""Teşekkürler. Bugün tek ihtiyacım olan bu. Güle güle!"",""İyi günler. Hoşçakal.""]}";
"{""id"":""WOZ20055.json"",""log"":[""Merhaba, şehrin kuzeyinde bir İran restoranı arıyorum."",""Ne yazık ki şehirde hiçbir İran restoranı yok. Farklı bir mutfak denemek ister misiniz?"",""Asya oryantal yemeklerine peki?"",""Saigon city Asya oryantal yemekleri sunmaktadır, şehrin kuzeyinde ve pahalı fiyat aralığındadır."",""Bana adresinı ve telefon numarasını söyler misiniz?"",""Elbette. Restoranın telefon numarası 01223 356555 ve 169 High Street Chesterton Chesterton 'da bulabilirsiniz. Size yardımcı olabileceğim başka bir şey var mı?"",""Hepsi bu. Teşekkürler hoşça kalın"",""Cambridge restoran sistemini kullandığınız için teşekkür ederim, hoşçakalın.""]}";
"{""id"":""WOZ20672.json"",""log"":[""Şehrin güneyinde İskandinav yemekleri servis eden bir restoran bulmak istiyorum."",""Şehrin güneyinde İskandinav restoranı yok."",""İtalyan yemeklerine peki?"",""Evet, güney bölgesinde iki İtalyan restoranımız var. Orta fiyatlı olnanı mı pahalı olanı mı tercih edersiniz?"",""Bir tercihim yok. Lütfen bir öneri yapın."",""Pizza Hut Cherry Hinton bir İtalyan restoranı, şehrin güney kesiminde ve orta fiyat aralığında. Adresi ve telefon numarasını ister misiniz?"",""Peki ya posta kodu?"",""Posta kodu CB 1, 7 DY, telefon numarası 01223 323737 ve adresi G4 Cambridge Leisure Park Clifton Way Cherry Hinton."",""Harika, teşekkürler"",""Teşekkürler, iyi günler!""]}";
"{""id"":""SNG0471.json"",""log"":[""Merhaba. Kentin güneyinde Doğu Avrupa tipi restoranların olup olmadığını merak ediyordum."",""Maalesef, şehrin güney kesiminde doğu Avrupa restoranları yok. İstediğiniz başka bir şey var mı?"",""Güneyde pahalı bir doğu avrupa yeri arıyorum."",""Ne yazık ki, aradığınızı karşılayan herhangi bir yer yok. Farklı bir bölgeyi veya restoran türünü denememi ister misiniz?"",""Çin lokantasına peki?"",""Kesinlikle, iki pahalı Çin restoranı the good luck chinese food takeaway ve peking restoranı var. Bir tanesinde rezervasyon yaptırmak ister misiniz ve kaç kişi için?"",""Peking restaurant için 2 kişilik rezervasyon istiyorum."",""Tamam, bu rezervasyonu hangi gün ve saatte istersiniz?"",""Cumartesi saat 11:45 itibariyle rezervasyon yaptırmak istiyorum. Ve planlarda bir değişiklik oldu, yalnız yemek yiyeceğim."",""Rezervasyonunuz tamamlandı. Başka bir şey ister misiniz?"",""Bu rezervasyon için referans numarasını alabilir miyim?\n"",""Evet, referans numarası KNL2J63Q'dur"",""Mükemmel. Hepsi bu kadar!"",""Harika. Afiyet olsun.""]}";
"{""id"":""SSNG0045.json"",""log"":[""Merhaba, lütfen yemek yemek için bir yer bulabilir misin?\n"",""Yemek yemek istediğiniz belirli bir alan veya fiyat aralığınız var mı?"",""Restoran batıda olmalı ve pahalı koşer yemekleri sunmalıdır."",""Bu açıklamaya uyan bir restoranım yok. Farklı bir yemek türü denemek ister misiniz?"",""İngiliz yemeği servis eden var mı?"",""İngiliz yemekleri servis eden 2 restoran, Graffiti ve Travellers Rest var. Sizin için bir tane ayırmamı ister misiniz?"",""Tabii, pahalı ve batıda olduğu sürece. Salı günü saat 17: 45'te 1 kişilik masa rezervasyonu yapabilir misiniz?"",""Tamam, Salı günü saat 17: 45'te Graffiti'de rezervasyonunuz var."",""Referans numarası alabilir miyim lütfen?"",""Üzgünüm, görünüşe göre rezervasyon açık değildi. Onun yerine Travellers Rest 'te bir masa buldum. Referans numarası: BRTYJSC8. Başka bir şey için yardımcı olabilir miyim?"",""Hayır, yardımlarınız için teşekkürler"",""Afiyet olsun ve iyi günler!""]}";
"{""id"":""WOZ20001.json"",""log"":[""Makul fiyatlı ve Kanton yemekleri sunan bir restoran arıyorum."",""Makul fiyat aralığında Kanton yemekleri sunan restoranlar yok."",""Çin yemeği peki?"",""Golden wok Çin yemeği servis eder ve orta fiyat aralığındadır. Konumlarını ister misiniz?"",""Telefon numaraları lütfen."",""Telefon numaraları 01223 350688."",""Bölgesi nedir?"",""şehrin kuzey kesiminde yer almaktadır"",""Yardımın için teşekkürler. Güle güle."",""Güle güle.""]}";
"{""id"":""SNG1306.json"",""log"":[""Restaurant Two Two adında belirli bir restoran arıyorum."",""Restaurant Two Two şehrin kuzey tarafında pahalı bir Fransız restoranı. Rezervasyon yaptırmak ister misiniz?"",""Perşembe günü saat 11: 00'de 8 kişilik masa rezervasyonu yapabilir misiniz?"",""Evet, referans numarası E7D8F4SM'dir. Size daha fazla yardımcı olabilir miyim?"",""Hayır, teşekkürler! Hepsi bu kadar!"","" İyi günler!""]}";
"{""id"":""SSNG0158.json"",""log"":[""The Slug and Lettuce adlı bir restoran bulmaya çalışıyorum. Nerede olduğunu biliyor musun?"",""Evet, şehir merkezinde."",""Cumartesi günü 16: 45'te 3 kişi için rezervasyon yapmak istiyorum."",""Kesinlikle. Slug and Marul için 3, 16: 45 Cumartesi günü sizi ayırttım. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Referans numarası alabilir miyim lütfen?"",""Üzgünüm. Referans numarasını almaya gittim ve şimdi sistem bir referans numarası vermiyor. Başka bir restoran arayabilirim.""]}";
"{""id"":""WOZ20671.json"",""log"":[""Merhaba, şehrin güney tarafında ucuz bir restoran arıyorum."",""Şehrin güney tarafında Portekiz yemekleri konusunda uzmanlaşmış Nandos adında bir yer var."",""Adres ve posta kodu nedir?"",""Telefon numarası 01223 327908 ve posta kodu CB 1, 7 DY"",""Teşekkürler, hoşçakalın."",""Sistemimizi kullandığınız için teşekkür ederiz! İyi günler!""]}";
"{""id"":""WOZ20626.json"",""log"":[""Şehrin güneyinde Meksikalı bir restoran arıyorum."",""Chiquito restoran bar şehrin güneyinde yer alır pahalı fiyat aralığında. Ek bilgi ister misiniz?"",""Telefon numarası ve fiyat aralığı nedir"",""Chiquito Restaurant Bar pahalıdır. Restoranın telefon numarası 01223 400170. Size yardımcı olabileceğim başka bir şey var mı?"",""Adresi rica ediyorum."",""Adres 2G Cambridge Eğlence Parkı Cherry Hinton Yolu Cherry Hinton."",""Tamam teşekkür ederim. O zaman bugün hepsi bu kadar."",""Teşekkürler ve güle güle.""]}";
"{""id"":""WOZ20562.json"",""log"":[""Şehrin kuzeyinde Gal yemekleri sunan bir restoran arıyorum."",""Şehrin kuzeyinde Galli restoran yok. Başka bir şey ister misin?"",""İtalyan"",""Da Vinci Pizzeria kuzeydeki tek seçeneğiniz gibi duruyor. Adreslerini ve telefon numaralarını ister misiniz?"",""Harika olurdu. Teşekkürler."",""da vinci pizzeria 20 Milton Road Chesterton adresindedir ve telefon numarası 01223 351707'dir. Başka bir konuda size yardımcı olabilir miyim?"",""Hepsi bu kadar hoşçakal"",""Teşekkür ederim, hoşçakalın."",""Teşekkürler!"","" Rica ederim.""]}";
"{""id"":""WOZ20632.json"",""log"":[""Şehrin doğusunda orta fiyat aralığında bir restoran arıyorum"",""curry prince a ne dersin, kasabanın doğu kesiminde ılımlı fiyat aralığındalar."",""Adresi, telefon numarasını ve posta kodunu alabilir miyim?"",""Onların telefon numarası 01223 566388. Adresleri 451 Newmarket Road Fen Ditton, posta kodu CB 5, 8 JJ"",""Teşekkür ederim. Güle güle."",""Bir şey değil. Aradığınız için teşekkür ederim. Güle güle.""]}";
"{""id"":""SNG02106.json"",""log"":[""Yemek için özellikle İtalyan yemekleri sunan pahalı bir yer bulmak istiyorum."",""Tamam. Şehrin merkezine veya güney kısmına gitmek ister misiniz?"",""Kasabanın güney kısmındaı istiyorum."",""Frankie and Bennys kriterlere uyuyor, sizin için rezervasyon yaptırmamı ister misiniz?"",""Evet, lütfen. Bu Cuma günü saat 16: 00'da 4 kişiyiz."",""Rezervasyon başarısız oldu. Belki başka bir gün veya saat deneyeyim mi?"",""Bunun yerine 15:00 ne dersin?"",""Tamam, bu işe yaradı ve masanızı başarıyla ayırttım. İsterseniz size referans numarasını verebilirim."",""Evet, referans numarasına ihtiyacım olacak."",""Referans numaranız: VRU8VSG0. Daha fazla yardıma ihtiyacınız var mı?"",""Hayır, ihtiyacım olan her şey buydu. Yardımın için teşekkürler!"",""Çok hoş geldiniz. Afiyet olsun!""]}";
"{""id"":""SNG02321.json"",""log"":[""Bir restoran arıyorum, çok pahalı olmayan ama namlunun dibinde değil, orta menzilde bir şey arıyorum."",""31 tane var. Ne tür bir mutfak istersiniz?"",""Barbekü yapanlardan lütfen"",""Özür dilerim ama barbekü servis eden hiç kimse yok. Alternatif bir mutfak tercihiniz var mı?"",""Gastropub yiyeceklerine ne dersiniz?"",""TAmam, efendim, Cow Pizza Kitchen and Bar 'da gastropub yiyecek var ve orta fiyat aralığında. Orada rezervasyon yaptırmak ister misiniz?"",""evet lütfen. Beş kişilik, 17:00 saat veya 16:00 saat rezervasyon yapın ve bana referans numarasını alın"",""Hangi gün için rezervasyon yaptırmak istersiniz?"",""Perşembe günü lütfen"",""Üzgünüm, restoran saat 17: 00'de uygun değil. Farklı bir zaman denemek ister misin?"",""16:00 ne dersin?"",""Evet, 16:00 için rezervasyonum var. Referans numaranız GXV1UIFJ'dir. Başka bir şeye ihtiyacın var mı?"",""Bugün için ihtiyacım olan tek şey bu. Harika hizmetiniz için teşekkürler!"",""Rica ederiz. Başka bir şeye ihtiyacınız olursa lütfen bize bildirin.""]}";
"{""id"":""SNG0562.json"",""log"":[""Merhaba, Kuzey'de pahalı bir yerde yemek istiyorum."",""Saigon City şehrin kuzey kesiminde pahalı bir yerdir."",""Tamam, Cumartesi 11: 45'te 6 kişilik bir masa ayırtmak istiyorum."",""Cumartesi günü Saigon City de 6 kişilik bir topluluk için yeriniz hazır, referans no 3IB3PPD0. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim. Hepsi bu."",""Tamam, yemeğin tadını çıkar! ""]}";
"{""id"":""WOZ20474.json"",""log"":[""Afgan yemekleri sunan pahalı bir restoran istiyorum"",""Afgan yemekleri sunan bir restoran yok gibi görünüyor"",""Asya oryantal yemeklerine peki?"",""Kymmoy merkezde ve Saigon Şehri kuzeyde. Bunlardan biri hakkında daha fazla bilgi ister misiniz?"",""Bana Saigon City 'nin telefon numarasını söyleyebilir misiniz?"",""Kymmoy için telefon numarası 01223 311911'dir. Ek bilgi almak ister misiniz?"",""Evet, Saigon City 'nin numarasını istiyorum."",""01223 356555\n"",""Teşekkür ederim. Bana Saigon City 'nin adresini de söyler misiniz lütfen?"",""saigon city için adres 169 High Street Chesterton Chesterton dır."",""Şehrin hangi bölgesinde?"",""şehrin kuzey kesiminde yer almaktadır"",""teşekkür ederim hoşçakal"",""GÜLE GÜLE TEŞEKKÜRLER""]}";
"{""id"":""WOZ20326.json"",""log"":[""Pahalı bir restorana ihtiyacım var"",""Ne tür mutfaklarla ilgileniyorsunuz?"",""Vietnam yemeği istiyorum"",""Sorgularınızla eşleşen restoran bulunamadı. Başka bir yiyecek türü aramak ister misiniz?"",""Kuzey Amerika yemekleri sunan restoranlar var mı?"",""Gourmet Burger Kitchen, Kuzey Amerika yemekleri sunan pahalı bir restorandır."",""Bu pahalı mı?"","" Evet, veritabanımda pahalı olarak listeleniyor. Bununla ilgili daha fazla bilgi ister misiniz?"",""Evet, lütfen telefon numarası ve posta kodu almak istiyorum."",""telefon numarası 01223 312598, posta kodu CB 2, 1 AB ""]}";
"{""id"":""WOZ20212.json"",""log"":[""Merhaba. İrlanda yemekleri sunan bir restoran arıyorum. Bana yardım edebilir misin?"",""Üzgünüm, İrlanda yemekleri sunan bir restoran yok. Başka bir konuda yardım ister misiniz?"",""Onun yerine bir Tayland restoranı alabilir miyim?"",""İki Tayland restoranı var. Batı bölgesinde sala tanga ve merkez de bangkok city var ""]}";
"{""id"":""SNG02317.json"",""log"":[""Hakka adında bir restoranı bulmama yardım et lütfen"",""Bu restoran Çin yemekleri servis ediyor ve pahalı."","" Cumartesi 1815'te 3 kişilik masa rezervasyonu yapmak istiyorum lütfen."",""Harika, sizin için ayırttım ve referans numaranız XDYJMTO7."",""Yardımın için teşekkürler, iyi günler."",""Siz de. Hizmeti kullandığınız için teşekkürler!"",""Elbette! Teşekkürler güle güle."",""yine bekleriz.""]}";
"{""id"":""WOZ20252.json"",""log"":[""Merhaba. Singapur'dan yemek servisi yapan bir restoran bulmama yardım eder misiniz? Mümkünse şehrin doğu tarafında olması tercihim."","" Şehrin Doğu kısmında Singapur yemek servisi yapan restoran yok."",""O zaman Çin yemeği bulmama yardım eder misin?"",""Yu Garden kasabanın doğu kesiminde yer almaktadır. Telefon ve adresi ister misiniz?"",""Adres, telefon numarası ve posta kodu nedir?"",""Yu Garden 529 Newmarket Yolu Fen Ditton, CB 5, 8 PA dadır ve numarası 01223 248882'dir."",""Teşekkürler, hoşçakalın."",""Cambridge restoran sistemini kullandığınız için teşekkür ederiz. Güle güle.""]}";
"{""id"":""SNG0555.json"",""log"":[""Rajmahal 'da yemek yemek istiyorum."",""Elbette. Rajmahal, şehrin doğu kısmında, 7 Barnwell Road Fen Ditton'da yer almaktadır."",""Telefon numarasını ve posta kodunu alabilir miyim, böylece gidebilirim. Yemek yemek için harika bir yer gibi geliyor."",""Tabii! Telefon numaraları 01223244955 ve posta kodu cb58rg. Yardımcı olabileceğim başka bir şey var mı?"",""Hayır, bilmem gereken tek şey buydu, teşekkürler."",""Rica ederiz. Eğer başka bir şeye ihtiyacınız olursa bize bildirmekten çekinmeyin.""]}";
"{""id"":""WOZ20266.json"",""log"":[""Avusturalya yemekleri sunan pahalı fiyat aralığında bir restoran arıyorum."",""İsteklerinize uygun restoran yok. Farklı bir restoran türü bulmanıza yardımcı olabilir miyim?"",""Bir Akdeniz restoranı bulmak istiyorum ve adreslerini ve telefon numaralarını bilmeliyim."",""Thompsons Lane Fen Ditton'da Akdeniz yemekleri sunan pahalı bir restoran var. Telefon numaraları 01223 362525."",""Teşekkür ederim!"",""teşekkür ederim hoşçakal""]}";
"{""id"":""SNG01794.json"",""log"":[""Merhaba, şehirde bir restoran için tavsiyeye ihtiyacım var."",""Birkaç harika restoran biliyorum! Mutfak veya yer tercihiniz var mı? Ya da belki bir fiyat aralığı tercihi?"",""Restoran Çin yemeği servis etmeli ve orta fiyat aralığında olmalıdır."",""Bence xxx restaurant iyi"",""Restoran için bir Yelp derecelendirmesi var mı?"",""Üzgünüm, ama Yelp puanım yok."",""tamam. en iyi gördüğünüzü ayırtın ve referans numarasını alın."",""Golden Wok kulağa hoş geliyor mu? Toplulukta kaç kişinin olduğunu ve ne zaman rezervasyon yapmak istediğinizi bilmem gerekecek."",""Rezervasyon bu Cumartesi benim için 15:45, lütfen."",""Rezerv etmeden önce, Golden Wok için rezervasyon istediğinizi onaylamak istiyorum."",""Evet, bu Cumartesi saat 15: 45'te Altın Wok için rezervasyon yaptırmak istiyorum. Lütfen bana referans numarasını da verin."",""Tamam, masanızı ayırttım. Referans numaranız 0IYMOQTN'dir. Size yardımcı olabileceğim başka bir şey var mı?"",""Hepsi bu kadar, teşekkür ederim."",""Hizmetlerimizi kullandığınız için teşekkür ederiz.""]}";
